"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Pets","2","0","Create pet","0"
"0","","0","Pets","4","0","Find pets by status","0"
"0","","0","Pet Adoption Journey","1","0","Pet adoption flow","0"
"0","","0","Pets","1","0","Delete pet","0"
"0","","0","Pet Lifecycle","2","0","Full CRUD lifecycle","0"
"0","","0","UI Authentication","1","0","Session state","0"
"0","","0","Authentication","3","0","Successful login","0"
"0","","0","Pets","3","0","Read pet","0"
"0","","0","User-Pet Interaction","1","0","Authenticated user manages pets","0"
"0","","0","Pets","2","0","Update pet","0"
"0","","0","User Registration Journey","1","0","Full registration and login flow","0"
"0","","0","Authentication","2","0","Session state","0"
"0","","0","UI Authentication","1","0","Successful login","0"
"0","","0","UI Authentication","2","0","Page structure","0"
"0","","0","UI Authentication","1","0","Failed login","0"
